Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
182,"A Perdomo-Ortiz, N Dickson, M Drew-Brook, G Rose…",Finding low-energy conformations of lattice protein models by quantum annealing,2012,Scientific reports,nature.com,https://www.nature.com/articles/srep00571,"https://scholar.google.com/scholar?cites=2763400729398513555&as_sdt=2005&sciodt=0,5&hl=en",1,22/11/2019 18:45,HTML,,,,,,,,182,26,36,5,7
592,"B Berger, T Leighton",Protein Folding in the Hydrophobic-Hydrophilic (HP) Model is NP-Complete,1998,Journal of Computational Biology,liebertpub.com,https://www.liebertpub.com/doi/abs/10.1089/cmb.1998.5.27,"https://scholar.google.com/scholar?cites=18317445107515573083&as_sdt=2005&sciodt=0,5&hl=en",2,22/11/2019 18:45,,,,,,,,,592,28.19,296,2,21
26,LF Luo,Quantum theory on protein folding,2014,"Science China Physics, Mechanics and Astronomy",Springer,https://link.springer.com/article/10.1007/s11433-014-5390-8,"https://scholar.google.com/scholar?cites=1911284766692734522&as_sdt=2005&sciodt=0,5&hl=en",3,22/11/2019 18:45,,,,,,,,,26,5.2,26,1,5
331,"MM Garcia-Mira, M Sadqi, N Fischer…",Experimental identification of downhill protein folding,2002,…,science.sciencemag.org,https://science.sciencemag.org/content/298/5601/2191.short,"https://scholar.google.com/scholar?cites=12065650211490903484&as_sdt=2005&sciodt=0,5&hl=en",4,22/11/2019 18:45,,,,,,,,,331,19.47,83,4,17
24,"L Luo, J Lu",Temperature dependence of protein folding deduced from quantum transition,2011,arXiv preprint arXiv:1102.3748,arxiv.org,https://arxiv.org/abs/1102.3748,"https://scholar.google.com/scholar?cites=6595809353915400758&as_sdt=2005&sciodt=0,5&hl=en",5,22/11/2019 18:45,,,,,,,,,24,3,12,2,8
19,L Luo,Protein folding as a quantum transition between conformational states,2011,Frontiers of Physics in China,Springer,https://link.springer.com/article/10.1007/s11467-010-0153-0,"https://scholar.google.com/scholar?cites=7828916489544440914&as_sdt=2005&sciodt=0,5&hl=en",6,22/11/2019 18:45,,,,,,,,,19,2.38,19,1,8
176,"BJ Berne, G Ciccotti, DF Coker",Classical and quantum dynamics in condensed phase simulations,1998,,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/e711/56e91c3ceb39bf3a5da0210a1b3f512ac603.pdf,"https://scholar.google.com/scholar?cites=6052347236273864518&as_sdt=2005&sciodt=0,5&hl=en",7,22/11/2019 18:45,BOOK,,,,,,,,176,8.38,59,3,21
169,AS Fraenkel,Complexity of protein folding,1993,Bulletin of mathematical biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0092824005801703,"https://scholar.google.com/scholar?cites=9635021845514390104&as_sdt=2005&sciodt=0,5&hl=en",8,22/11/2019 18:45,,,,,,,,,169,6.5,169,1,26
591,"S Piana, K Lindorff-Larsen, DE Shaw",How robust are protein folding simulations with respect to force field parameterization?,2011,Biophysical journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006349511004097,"https://scholar.google.com/scholar?cites=14385428021875797747&as_sdt=2005&sciodt=0,5&hl=en",9,22/11/2019 18:45,HTML,,,,,,,,591,73.88,197,3,8
285,"PL Freddolino, CB Harrison, Y Liu, K Schulten",Challenges in protein-folding simulations,2010,Nature physics,nature.com,https://www.nature.com/articles/nphys1713,"https://scholar.google.com/scholar?cites=4107200712775649834&as_sdt=2005&sciodt=0,5&hl=en",10,22/11/2019 18:45,,,,,,,,,285,31.67,71,4,9
164,"J Vondrášek, L Bendová, V Klusák…",Unexpectedly strong energy stabilization inside the hydrophobic core of small protein rubredoxin mediated by aromatic residues: correlated ab initio quantum …,2005,Journal of the American …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja044607h,"https://scholar.google.com/scholar?cites=16959197115764222655&as_sdt=2005&sciodt=0,5&hl=en",11,22/11/2019 18:45,,,,,,,,,164,11.71,41,4,14
12,LF Luo,Protein photo-folding and quantum folding theory,2012,Science China Life Sciences,Springer,https://link.springer.com/article/10.1007/s11427-012-4316-9,"https://scholar.google.com/scholar?cites=15071226358905145104&as_sdt=2005&sciodt=0,5&hl=en",12,22/11/2019 18:45,,,,,,,,,12,1.71,12,1,7
15,"J Lv, LF Luo",Statistical analyses of protein folding rates from the view of quantum transition,2014,Science China Life Sciences,Springer,https://link.springer.com/article/10.1007/s11427-014-4728-9,"https://scholar.google.com/scholar?cites=9132251599942461471&as_sdt=2005&sciodt=0,5&hl=en",13,22/11/2019 18:45,,,,,,,,,15,3,8,2,5
14,"Y Zhang, LF Luo",The dynamical contact order: Protein folding rate parameters based on quantum conformational transitions,2011,Science China Life Sciences,Springer,https://link.springer.com/article/10.1007/s11427-011-4158-x,"https://scholar.google.com/scholar?cites=17024659889550237366&as_sdt=2005&sciodt=0,5&hl=en",14,22/11/2019 18:45,,,,,,,,,14,1.75,7,2,8
141,RB Best,Atomistic molecular simulations of protein folding,2012,Current opinion in structural biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0959440X11002041,"https://scholar.google.com/scholar?cites=14161499587574446136&as_sdt=2005&sciodt=0,5&hl=en",15,22/11/2019 18:45,,,,,,,,,141,20.14,141,1,7
113,"V Gogonea, D Suárez, A van der Vaart…",New developments in applying quantum mechanics to proteins,2001,Current opinion in …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0959440X00001937,"https://scholar.google.com/scholar?cites=1032490987260202773&as_sdt=2005&sciodt=0,5&hl=en",16,22/11/2019 18:45,,,,,,,,,113,6.28,28,4,18
